#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.47  0.03  0.35374 -1.749 3.569  4.956  8.30  0.037 0.00 17.443 21.395 20.210 18.840 17.864 16.798 15.727 15.140 14.942  0.354 
 1   9.47  0.05  0.31061 -1.866 3.560  4.983  7.20  0.034 0.00 16.635 20.772 19.523 18.108 17.113 16.004 14.909 14.326 14.112  0.311 
 1   9.47  0.27  0.65029 -1.017 3.627  4.721  9.30  0.038 0.00 16.614 19.785 18.672 17.453 16.654 15.965 15.073 14.374 14.271  0.650 
 1   9.47  0.31  0.26727 -2.016 3.545  5.006  9.20  0.038 0.75 18.516 23.090 21.726 20.225 19.168 17.928 16.752 16.186 15.944  0.267 
 1   9.49 -0.51  0.20998 -2.095 3.575  5.103  6.90  0.033 0.00 16.909 20.706 19.489 18.052 17.098 16.238 15.251 14.677 14.477  0.210 
 1   9.49 -0.33  0.52013 -1.253 3.620  4.832  9.40  0.038 0.00 17.302 20.333 19.341 18.115 17.308 16.643 15.769 15.103 14.978  0.520 
 1   9.49 -0.17  0.39304 -1.613 3.585  4.933 10.40  0.038 0.98 18.481 22.105 20.984 19.645 18.717 17.817 16.823 16.218 16.044  0.393 
 1   9.49 -0.11  0.38580 -1.645 3.581  4.939  9.80  0.038 0.00 18.682 22.384 21.250 19.907 18.966 18.020 17.005 16.407 16.228  0.386 
 1   9.49 -0.05  1.28945  0.589 3.796  4.091 12.80  0.038 0.00 16.098 16.692 16.672 16.146 15.827 15.547 15.204 14.937 14.910  1.289 
 1   9.49 -0.01  0.21757 -2.164 3.545  5.064  7.80  0.036 0.00 17.980 22.474 21.113 19.617 18.577 17.378 16.230 15.660 15.421  0.218 
 1   9.49 -0.01  1.00138 -0.034 3.758  4.452 10.00  0.038 0.00 14.856 15.834 15.658 14.962 14.564 14.223 13.780 13.428 13.391  1.001 
 1   9.49  0.01  0.31362 -1.852 3.563  4.982  9.90  0.038 0.00 19.299 23.387 22.152 20.746 19.756 18.664 17.579 16.995 16.784  0.314 
 1   9.49  0.05  0.62691 -1.054 3.626  4.741  8.50  0.037 0.00 15.905 19.000 17.929 16.711 15.917 15.258 14.378 13.680 13.574  0.627 
 1   9.49  0.15  0.42535 -1.575 3.576  4.894  6.60  0.031 0.88 14.706 18.579 17.443 16.119 15.145 14.063 12.982 12.386 12.199  0.425 
 1   9.49  0.23  0.22159 -2.173 3.535  5.043  8.20  0.037 0.94 17.711 22.403 21.012 19.492 18.414 17.134 15.932 15.372 15.127  0.222 
 1   9.51 -0.35  0.33776 -1.737 3.587  4.998  7.40  0.035 0.00 16.514 20.048 18.938 17.586 16.671 15.840 14.880 14.282 14.105  0.338 
 1   9.51 -0.33  0.32545 -1.772 3.584  5.004  6.10  0.028 0.00 15.300 18.893 17.764 16.403 15.478 14.624 13.653 13.060 12.879  0.325 
 1   9.51 -0.27  0.27131 -1.933 3.571  5.035  6.70  0.032 0.00 16.302 20.199 18.976 17.560 16.595 15.642 14.618 14.037 13.836  0.271 
 1   9.51 -0.25  0.16027 -2.476 3.518  5.139  8.50  0.037 0.00 19.461 24.682 23.040 21.379 20.241 18.912 17.667 17.101 16.846  0.160 
 1   9.51 -0.21  0.19693 -2.219 3.549  5.095  9.00  0.038 0.00 19.317 23.795 22.367 20.834 19.810 18.702 17.597 17.020 16.781  0.197 
 1   9.51 -0.17  0.39455 -1.608 3.586  4.931 10.10  0.038 0.85 18.329 22.003 20.868 19.519 18.583 17.665 16.663 16.064 15.884  0.395 
 1   9.51 -0.07  0.16729 -2.450 3.516  5.122  4.80  0.020 0.00 15.695 20.823 19.286 17.681 16.535 15.150 13.876 13.325 13.070  0.167 
 1   9.51 -0.05  0.40341 -1.606 3.580  4.918  9.10  0.038 0.00 17.885 21.603 20.475 19.142 18.197 17.225 16.200 15.600 15.422  0.403 
 1   9.51 -0.03  1.00270 -0.023 3.760  4.449  7.50  0.035 0.00 12.328 13.272 13.114 12.429 12.036 11.699 11.262 10.915 10.878  1.003 
 1   9.51 -0.03  0.63907 -1.008 3.634  4.732  8.90  0.038 0.00 16.189 19.136 18.112 16.925 16.159 15.538 14.687 14.001 13.901  0.639 
 1   9.51 -0.03  0.81859 -0.510 3.699  4.601 10.80  0.038 0.00 16.845 18.685 18.083 17.145 16.602 16.159 15.534 15.024 14.964  0.819 
 1   9.51  0.05  1.41286  0.866 3.690  3.427 13.10  0.038 0.00 15.705 17.738 17.041 16.031 15.479 15.020 14.360 13.834 13.770  1.413 
 1   9.51  0.07  0.16540 -2.481 3.508  5.115  7.10  0.034 0.00 18.072 23.365 21.824 20.209 19.025 17.564 16.232 15.689 15.426  0.165 
 1   9.51  0.29  1.43841  1.064 3.674  3.175 10.50  0.038 0.00 12.609 15.079 14.137 13.013 12.406 11.919 11.203 10.650 10.574  1.438 
 1   9.51  0.35  0.37415 -1.710 3.565  4.929  9.20  0.038 0.00 18.244 22.287 21.108 19.761 18.766 17.624 16.509 15.912 15.713  0.374 
 1   9.53 -0.43  0.82122 -0.343 3.738  4.594  9.40  0.038 0.84 14.661 15.947 15.687 14.893 14.422 14.013 13.451 12.987 12.930  0.821 
 1   9.53 -0.27  1.16573  0.475 3.818  4.248  9.80  0.038 0.00 13.382 13.803 13.866 13.433 13.156 12.905 12.610 12.379 12.358  1.166 
 1   9.53 -0.27  0.99296  0.028 3.777  4.463 10.10  0.038 0.00 14.801 15.486 15.481 14.891 14.537 14.221 13.826 13.511 13.479  0.993 
 1   9.53 -0.23  0.48620 -1.365 3.606  4.861  9.50  0.038 0.00 17.682 20.910 19.875 18.607 17.755 17.018 16.103 15.449 15.312  0.486 
 1   9.53 -0.17  0.29807 -1.869 3.570  5.009  8.50  0.037 0.89 17.303 21.287 20.051 18.635 17.660 16.654 15.607 15.024 14.818  0.298 
 1   9.53 -0.17  0.21964 -2.129 3.554  5.072  9.30  0.038 0.00 19.392 23.725 22.361 20.867 19.856 18.768 17.676 17.098 16.868  0.220 
 1   9.53  0.05  1.05650  0.088 3.769  4.396  8.90  0.038 0.00 13.451 14.327 14.190 13.533 13.155 12.832 12.420 12.095 12.061  1.056 
 1   9.53  0.13  0.38421 -1.676 3.570  4.924  8.80  0.037 0.96 17.059 21.026 19.852 18.498 17.516 16.423 15.336 14.745 14.548  0.384 
 1   9.55 -0.33  0.38727 -1.600 3.593  4.945  8.30  0.037 0.84 16.512 20.001 18.908 17.571 16.663 15.841 14.884 14.279 14.108  0.387 
