#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.33  0.03  1.36458  0.648 3.811  4.115 14.00  0.038 0.77 16.922 17.505 17.473 16.961 16.651 16.382 16.051 15.794 15.767  1.365 
 1   9.33  0.07  0.59207 -1.156 3.616  4.775  8.60  0.035 0.84 15.767 19.084 18.001 16.750 15.898 15.115 14.172 13.496 13.370  0.592 
 1   9.33  0.17  0.37846 -1.700 3.567  4.931  8.20  0.033 0.00 17.220 21.212 20.032 18.675 17.690 16.585 15.492 14.901 14.703  0.378 
 1   9.35 -0.45  0.48208 -1.334 3.619  4.876 10.10  0.038 0.92 17.565 20.606 19.631 18.391 17.573 16.897 16.023 15.378 15.241  0.482 
 1   9.35 -0.41  0.86316 -0.262 3.749  4.576  6.60  0.024 0.92 11.485 12.550 12.377 11.642 11.213 10.836 10.336  9.928  9.881  0.863 
 1   9.35 -0.35  1.23719  0.603 3.841  4.238 10.70  0.038 0.87 13.570 13.934 14.008 13.621 13.369 13.139 12.871 12.661 12.643  1.237 
 1   9.35 -0.25  0.99941 -0.007 3.774  4.485 11.60  0.038 0.00 16.387 17.114 17.089 16.482 16.119 15.797 15.393 15.070 15.038  0.999 
 1   9.35 -0.21  0.59372 -1.089 3.631  4.770  9.10  0.036 0.00 16.592 19.510 18.522 17.334 16.564 15.938 15.087 14.409 14.301  0.594 
 1   9.35 -0.19  1.34329  0.710 3.827  4.109 10.30  0.038 0.00 13.296 13.695 13.735 13.329 13.069 12.836 12.563 12.354 12.334  1.343 
 1   9.35 -0.15  0.57075 -1.163 3.622  4.791  8.50  0.034 0.89 15.611 18.749 17.712 16.473 15.651 14.953 14.058 13.383 13.260  0.571 
 1   9.35 -0.13  1.06041  0.088 3.779  4.436 10.70  0.038 0.86 14.830 15.674 15.579 14.933 14.553 14.222 13.795 13.453 13.417  1.060 
 1   9.35 -0.11  1.59111  1.730 3.681  2.580 11.80  0.038 0.00 12.245 14.422 13.661 12.603 12.041 11.566 10.873 10.323 10.255  1.591 
 1   9.35  0.07  1.27216  0.486 3.802  4.211  7.70  0.030 0.00 11.255 11.823 11.798 11.281 10.971 10.703 10.380 10.129 10.104  1.272 
 1   9.35  0.11  0.53226 -1.310 3.600  4.820  8.80  0.035 0.00 16.845 20.249 19.167 17.906 17.028 16.194 15.224 14.545 14.415  0.532 
 1   9.35  0.13  2.02234  0.817 3.793  3.917 10.40  0.038 0.74 13.127 13.808 13.717 13.161 12.834 12.553 12.207 11.944 11.915  1.499 
 1   9.37 -0.45  0.50064 -1.284 3.622  4.858  9.30  0.037 0.00 17.280 20.230 19.273 18.059 17.264 16.618 15.760 15.101 14.974  0.501 
 1   9.37 -0.33  1.72379  0.954 3.808  3.818 11.70  0.038 0.83 14.084 14.567 14.591 14.138 13.847 13.583 13.261 13.013 12.988  1.439 
 1   9.37 -0.25  0.24435 -2.024 3.565  5.055  5.70  0.018 0.00 15.530 19.578 18.296 16.850 15.871 14.874 13.830 13.252 13.040  0.244 
 1   9.37  0.01  0.42974 -1.551 3.582  4.897  8.60  0.035 0.00 17.249 20.940 19.824 18.507 17.567 16.590 15.562 14.955 14.783  0.430 
 1   9.37  0.05  0.54786 -1.263 3.606  4.808  9.90  0.037 0.00 17.829 21.159 20.078 18.819 17.960 17.177 16.233 15.552 15.426  0.548 
 1   9.37  0.13  0.95889 -0.208 3.734  4.510  8.60  0.035 0.96 13.260 14.707 14.280 13.438 12.966 12.579 12.050 11.630 11.582  0.959 
 1   9.39 -0.31  0.36587 -1.669 3.589  4.972  9.10  0.036 0.76 17.549 21.158 20.030 18.669 17.743 16.880 15.902 15.306 15.126  0.366 
